file,cross_mean_speed_px_s,cross_median_speed_px_s
m1-d4-beam-front-2_tracking_results.mat,50.2234521372031,43.1892432864465
m1-d5-beam-front-2_tracking_results.mat,85.4043218030313,13.93693505503
m1-d6-beam-front-2_tracking_results.mat,25.6108229006582,18.2124038863688
m1-d7-beam-front-2_tracking_results.mat,233.466990731052,57.9251935475104
m2-d4-beam-front-2_tracking_results.mat,74.4838894758981,33.5410196624969
m2-d5-beam-front-2_tracking_results.mat,36.900599096181,30.5201209594037
m2-d6-beam-front-2_tracking_results.mat,50.5845476305737,39.9048759361148
m2-d7-beam-front-2_tracking_results.mat,71.0476778436615,67.634022996786
m3-d4-beam-front-2_tracking_results.mat,70.795571078047,67.8175480783054
m3-d5-beam-front-2_tracking_results.mat,78.1693886324143,76.982968459052
m3-d6-beam-front-2_tracking_results.mat,56.4524708681566,48.9237800834139
m3-d7-beam-front-2_tracking_results.mat,74.7212550657105,76.0501951779802
